八声甘州 三十自寿（近现代末当代初·张伯驹）	几兴亡无恙旧河山，残棋一枰收。负陌头柳色，秦关百二，悔觅封侯。前事都随逝水，明月怯登楼。甚五陵年少，骏马貂裘。玉管珠弦欢罢，春来人自瘦，未减风流。问当年张绪，绿鬓可长留？更江南、落花肠断，望连天、烽火遍中州。休惆怅、有华筵在，仗酒销愁。
踏莎行 送寒云宿霭兰室（近现代末当代初·张伯驹）	银烛垂消，金钗欲醉，荒鸡数动还无睡。梦回珠幔漏初沈，夜寒定有人相忆。酒后情肠，眼前风味，将离别更嫌憔悴。玉街归去暗无人，飘摇密雪如花坠。
浪淘沙（近现代末当代初·张伯驹）	香雾湿汍澜，乍试衣单。小楼消息雨珊珊。斜捲珠帘人病起，无奈春寒。愁思已无端，又减华颜。年年几见月团圆。燕子不来花落去，莫倚阑干。
人月圆 晚归和寒云韵（近现代末当代初·张伯驹）	戍楼更鼓声迢递，小院月来时。绮筵人散，珠弦罢响，酒剩残卮。锦屏寒重，帘波弄影，花怨春迟。愁多何处，江南梦好，难慰相思。
浪淘沙 金陵怀古（近现代末当代初·张伯驹）	春水远连天。潮去潮还。莫愁湖上雨如烟。燕子归来寻旧垒，王谢堂前。玉树已歌残，空说龙蟠。斜阳满地莫凭阑。往代繁华都已矣，只剩江山。
虞美人 将有吴越之行筵上别诸友（近现代末当代初·张伯驹）	离怀易共韶光老，总是欢时少。西风昨夜损华颜，不及春花秋月自年年。一身载得愁无数，都付江流去。别筵且复按红牙，明日青衫飘泊又天涯。
浪淘沙（近现代末当代初·张伯驹）	零露欲成团，北斗阑干。乱虫泣语夜凉天。窗外西风吹又急，怕到秋残。瘦减带围宽，添上炉檀。捲帘犹自怯轻寒。一病沈郎如小别，谢了芳兰。
如梦令（近现代末当代初·张伯驹）	寂寞黄昏庭院，软语花阴立遍。湿透凤头鞋，玉露寒、侵苔藓。休管，休管，明日天涯人远。
调笑令（近现代末当代初·张伯驹）	明月，明月。明月照人离别。柔情似有还无，背影偷弹泪珠。珠泪，珠泪，落尽灯花不睡。
卜算子（近现代末当代初·张伯驹）	落叶掩重门，桂子香初定。今夜月明分外寒，照彻双人影。薄袂倚虚廊，天外银河耿。街鼓无声未肯眠，忘却霜华冷。
摸鱼儿 同南田登万寿山（近现代末当代初·张伯驹）	试登临、秋怀飘渺，长空澄澈如浣。关河迢递人千里，目断数行新雁。杨柳岸，犹瘦曳烟丝，似诉闲愁怨。天低水远。正黄叶纷纷，白芦瑟瑟，一片斜阳晚。空怀感，到处离宫荒馆，消歇燕娇莺婉。旧时翠辇经行处，惟有碧苔苍藓。君不见，残弈局，频年几度沧桑换。兴亡满眼，只山色余青，湖光剩绿，待付谁家管。
八声甘州（近现代末当代初·张伯驹）	忆长安春夜骋豪游，走马拥貂裘。指银瓶索酒，当筵看剑，往事悠悠。三月莺花已倦，一梦觉扬州。襟上啼痕在，犹滞清愁。又是登临怀感，听数声渔笛，落雁汀洲。看残烟堆叶，零乱不胜秋。碧天长、白云无际，盼归期、帆影送轻鸥。倚阑处、才斜阳去，月又当楼。
浣溪沙（近现代末当代初·张伯驹）	飒飒霜寒透碧纱，可堪锦瑟怨年华，风前独立鬓丝斜。宛转柔情都似水，飘摇残梦总如花。人间何处不天涯。
摊破浣溪沙（近现代末当代初·张伯驹）	相见时难别也难，背人无语怨春残。忍忆旧时回首地，泪偷弹。眉叶懒描螺黛浅，鬓云愁映镜花寒。细雨一楼人寂寂，捲珠帘。
生查子（近现代末当代初·张伯驹）	去年相见时，花好银蟾缺。明月正团圞，又奈人离别。相逢复几时，还望花如雪。再别再相逢，明镜生华发。
浣溪沙（近现代末当代初·张伯驹）	隔院笙歌隔寺钟，画阑北畔影西东，断肠人语月明中。小别又逢金粟雨，旧欢却忆玉兰风，相思两地总相同。
念奴娇 中秋寄内（近现代末当代初·张伯驹）	无人庭院，坠夜霜、湿透闲阶堆叶。月是团圞今夜好，可奈个人离别。倚遍云阑，立残花径，触绪添凄咽。满身清露，更谁低问凉热。记得去年今日，盈盈双袖，满地明如雪。只影那堪重对此，美景良辰虚设。玉漏无声，银灯息焰，总是愁时节。谁家歌管，任他紫玉吹彻。
尉迟杯 伟卿病甚送其归里（近现代末当代初·张伯驹）	归时路，又日晚、杜宇啼深树。无边芳草凄迷，绿到天涯何处。东风应恨，吹不散、浓雰暗南浦。共销魂、且进离尊，阳关休唱西去。回首旧梦成尘，犹恋此黄昏，一霎相聚。泪向君前双双落，肠断处、飞花乱舞。如今是、萧条别院，步芳径、斜阳独自语。记当时、剩袂零襟，梦魂空想前侣。
东风第一枝 春雪（近现代末当代初·张伯驹）	落地声微，沾衣力软，风欺弱絮无主。蓦催万树花开，旋湿一庭翠妩。熏炉重熨，恁禁得、轻寒如许。待捲帘、双燕来时，应共落梅衔去。灯黯黯、小楼雨误。泥滑滑、玉街路阻。怕消剩粉江山，暗融糁银院宇。檐声凄断，怨身世、不胜高处。问谁怜、零霰残霙，借乞宿阴留护。
蝶恋花（近现代末当代初·张伯驹）	眼底江山零落尽，愁雨愁风，更是重阳近。乌帽青衫尘扑鬓，重思往事眉痕晕。孤馆凄凉灯一寸，睡也无聊，醒又无聊甚。明日朱颜成瘦损，夜长不管离人恨。
